no_correlativo,pc_delantero_arriba1,pc_delantero_arriba2,pc_delantero_abajo1,pc_delantero_abajo2,pc_trasero_arriba1,pc_trasero_arriba2,pc_trasero_abajo1,pc_trasero_abajo2
3109,,,,,,,,
3110,,,,,,,,
3111,,,,,,,,
3148,,,,,,,,
3150,,,,,,,,
3199,,,,,,,,
3200,,,,,,,,
3201,,,,,,,,
3202,,,,,,,,
3203,,,,,,,,
3204,,,,,,,,
3205,,,,,,,,
3206,,,,,,,,
3207,,,,,,,,
3208,,,,,,,,
3209,,,,,,,,
3211,,,,,,,,
3212,,,,,,,,
3213,,,,,,,,
3214,,,,,,,,
3215,,,,,,,,
3216,,,,,,,,
3257,,,,,,,,
3258,,,,,,,,
3260,,,,,,,,
3262,,,,,,,,
3263,33,30,4,4,67,59,49,49
3264,,,,,,,,
3266,,,,,,,,
3296,,,,,,,,
3297,36,59,22,22,33,71,19,4
3326,,,,,,,,
3328,,,,,,,,
3330,,,,,,,,
3331,67,33,4,1,71,39,12,22
3332,,,,,,,,
3334,,,,,,,,
3383,,,,,,,,
3384,,,,,,,,
3385,,,,,,,,
3386,,,,,,,,
3387,,,,,,,,
3388,,,,,,,,
3389,,,,,,,,
3390,,,,,,,,
3391,,,,,,,,
3392,,,,,,,,
3393,,,,,,,,
3394,,,,,,,,
3395,,,,,,,,
3396,,,,,,,,
3397,,,,,,,,
3398,,,,,,,,
3399,,,,,,,,
3400,,,,,,,,
3442,,,,,,,,
3444,,,,,,,,
3446,,,,,,,,
3448,,,2,2,11,11,4,4
3450,,,,,,,,
3498,,,,,,,,
3554,,,,,,,,
3556,,,,,,,,
3558,,,,,,,,
3560,2,2,5,5,3,3,6,6
3562,,,,,,,,
3611,,,,,,,,
3612,,,,,,,,
3613,,,,,,,,
3614,,,,,,,,
3615,,,,,,,,
3616,,,,,,,,
3617,,,,,,,,
3618,,,,,,,,
3619,,,,,,,,
3620,,,,,,,,
3621,,,,,,,,
3622,,,,,,,,
3623,,,,,,,,
3624,,,,,,,,
3625,,,,,,,,
3626,,,,,,,,
3627,,,,,,,,
3628,,,,,,,,
3667,,,,,,,,
3668,,,,,,,,
3669,,,,,,,,
3670,,,,,,,,
3671,,,,,,,,
3672,,,,,,,,
3673,,,,,,,,
3674,,,,,,,,
3705,,,,,,,,
3706,,,,,,,,
3707,,,,,,,,
3708,,,,,,,,
3709,,,,,,,,
3710,,,,,,,,
3711,,,,,,,,
3712,,,,,,,,
3713,,,,,,,,
3714,,,,,,,,
3728,,,,,,,,
5949,,,,,,,,
5958,,,,,,,,
5959,,,44,20,20,20,56,56
5963,,,44,70,,,44,70
5964,2,2,31,31,2,2,,
5965,,,31,31,31,31,45,45
5966,,,44,45,,,45,44
5968,11,11,46,46,11,11,46,46
5969,,,31,31,11,11,31,31
5970,70,70,46,46,65,65,46,46
5973,,,31,31,31,31,57,57
6055,,,,,,,,
6056,4,4,44,44,4,4,44,44
6061,,,44,44,44,44,,
6064,47,47,31,31,,,,
6067,62,62,35,35,11,11,35,35
6069,,,,,,,35,35
6071,11,11,43,43,61,61,43,43
6146,20,20,4,4,20,20,4,4
6153,33,71,22,22,33,33,22,22
6156,19,19,44,44,,,44,44
6159,54,54,22,20,54,54,22,20
6233,,,,,,,,
6235,23,23,44,52,23,23,44,44
6250,55,55,44,44,55,55,,
6308,,,,,,,,
6317,55,55,49,49,55,55,49,49
6319,5,5,4,4,5,5,4,4
6395,61,66,46,46,11,23,40,9
6397,14,65,35,66,66,14,35,65
6399,,,,,,,,
6405,,,44,44,62,15,44,44
6409,25,25,44,25,13,67,53,42
6413,16,67,53,38,20,23,46,56
6416,,,43,43,,,70,70
6418,42,16,31,31,61,72,2,2
6419,62,14,31,31,72,15,28,28
6420,67,61,35,35,11,11,35,35
6423,,,35,42,62,61,,
6518,,,,,,,,
6520,59,59,34,51,52,23,44,32
6526,,,71,44,32,1,44,71
6527,27,27,3,3,72,67,34,34
6533,20,20,3,3,58,58,4,4
6603,,,,,,,,
6605,62,62,35,11,61,61,35,11
6609,11,21,43,57,62,25,1,2
6613,62,62,43,11,,,,
6614,60,62,46,38,62,11,38,46
6616,62,65,46,60,62,62,46,46
6617,43,56,60,60,56,11,60,60
6618,63,11,,,31,63,35,35
6619,61,6,31,31,25,62,35,35
6714,,,,,,,,
6728,54,58,22,22,27,27,51,51
6738,20,20,3,3,71,71,4,4
6865,21,53,46,46,25,40,38,57
6867,,,35,35,,,,
6869,,,,,,,,
6879,2,2,44,44,70,70,44,44
6883,21,21,25,25,,,,
6885,2,25,40,46,6,6,46,42
6887,63,65,46,46,42,42,45,70
6888,14,13,62,46,11,11,21,21
6889,42,62,25,25,69,61,31,31
6890,53,53,31,31,,,31,31
6893,42,42,35,35,11,62,,
7014,,,,,,,,
7165,61,21,28,46,53,42,38,9
7167,,,35,45,65,65,11,57
7169,,,,,,,,
7183,62,21,11,43,2,2,,
7184,62,62,46,57,,,42,57
7185,,,46,46,65,53,,
7187,,,46,49,65,65,4,42
7188,11,25,35,2,,,35,25
7189,72,72,43,57,,,62,62
7190,,,31,31,16,16,31,31
7193,62,2,35,42,,,35,11
7259,,,,,,,,
7271,,,,,,,,
7346,6,70,35,35,15,25,16,9
7347,,,35,35,65,65,21,21
7350,25,25,35,35,,,9,44
7356,61,61,43,43,65,70,,
7359,,,43,43,16,16,53,53
7363,67,67,56,38,,,44,38
7364,67,61,35,41,,,14,34
7366,70,70,44,44,15,15,44,44
7367,46,46,31,31,67,67,38,38
7369,62,62,56,56,61,15,43,43
7370,15,15,6,6,31,31,31,31
7371,31,31,31,31,31,31,31,31
7373,13,13,31,31,,,53,53
7514,25,16,35,35,70,6,15,9
7515,47,65,35,72,21,21,49,49
7518,,,44,4,15,15,4,4
7524,,,43,43,,,,
7527,,,43,43,,,53,53
7531,67,67,44,56,,,43,23
7535,15,6,38,38,,,31,31
7536,,,35,35,6,35,53,53
7537,53,53,43,43,1,1,2,2
7538,15,16,31,31,,,47,47
7539,70,70,6,6,31,31,31,31
7540,11,11,43,43,,,49,49
7541,,,31,31,,,31,31
7683,66,66,38,52,12,52,51,44
7693,59,59,22,22,59,59,22,22
7705,10,37,22,19,37,37,33,10
7812,,,,,,,,
7825,,,,,,,,
8054,72,58,22,54,23,71,68,27
8070,54,58,22,48,12,23,4,55
8381,5,52,2,27,12,5,51,49
8605,65,28,46,57,11,17,45,40
9085,,,,,,,,
9099,23,54,4,22,51,58,4,22
9103,1,2,,,4,4,,
9109,20,54,22,38,20,54,22,22
9110,58,23,22,44,58,55,22,44
9113,27,66,44,44,51,20,4,4
9176,1,2,,,,,,
9178,1,1,,,1,1,,
9213,54,27,46,32,10,41,20,60
9215,72,27,35,5,5,22,35,22
9218,41,10,31,4,66,23,35,35
9221,41,53,35,35,27,23,35,35
9225,58,25,46,22,10,41,20,49
9229,48,10,43,43,19,41,54,54
9231,27,48,51,46,59,19,60,66
9234,5,54,35,72,66,66,31,31
9288,23,2,70,46,67,20,60,53
9289,23,14,60,60,72,61,25,25
9290,,,35,14,13,6,26,31
9291,5,43,46,14,33,70,47,1
9292,60,47,70,46,67,65,4,61
9294,13,58,35,11,21,28,35,11
9295,70,70,46,11,14,26,3,3
9296,26,65,60,60,,,35,35
9297,14,65,35,6,61,42,,
9298,62,42,43,14,53,72,49,49
9299,11,61,31,31,23,62,66,62
9301,71,71,31,31,58,26,28,28
9303,21,5,46,4,25,23,49,66
9307,25,5,35,2,61,66,43,5
9309,53,26,46,46,21,67,72,56
