id,inicio_paletizado,fin_paletizado,carga_EXPO_lista_rampa,inicio_despaletizado,fin_despaletizado,hora_asegurado,compartimientos_abiertos,inicio_descarga,fin_descarga,inicio_cargado,fin_cargado,compartimientos_cerrados,puerta_cerrada,hora_retro_empuje,hora_despegue,hora_aterrizaje,fin_limpieza_cabina,cierre_vuelo_mostrador,primer_equipaje_faja,ultimo_equipaje_faja,inicio_limpieza_cabina
3039,,,,,,12:55:00,12:59:00,13:00:00,13:12:00,13:14:00,13:50:00,13:52:00,13:59:00,14:03:00,14:18:00,12:52:00,13:17:00,13:14:00,13:09:00,13:19:00,13:09:00
3040,,,,,,13:04:00,13:05:00,13:08:00,13:19:00,13:21:00,13:56:00,14:01:00,14:03:00,14:14:00,14:29:00,12:52:00,13:26:00,13:23:00,13:14:00,13:25:00,13:18:00
3042,,,,,,15:32:00,15:33:00,15:34:00,15:50:00,15:55:00,16:16:00,16:18:00,16:28:00,16:31:00,16:37:00,15:30:00,16:00:00,15:40:00,15:43:00,15:53:00,15:30:00
3044,,,,,,13:01:00,13:04:00,13:05:00,13:13:00,13:24:00,14:00:00,14:00:00,14:04:00,14:09:00,14:20:00,12:55:00,13:20:00,13:10:00,13:13:00,13:30:00,13:13:00
3046,,,,,,,,,,,,,,,,,,,,,
3095,,,,,,18:56:00,18:57:00,18:58:00,19:10:00,,,19:13:00,,,,18:50:00,19:49:00,,19:07:00,19:12:00,19:14:00
3096,,,,,,19:27:00,19:30:00,19:33:00,19:41:00,,,19:44:00,,,,19:20:00,20:36:00,,19:22:00,19:50:00,19:43:00
3097,,,,,,18:28:00,18:30:00,18:31:00,18:42:00,,,18:43:00,,,,18:23:00,19:31:00,,18:35:00,18:45:00,18:50:00
3098,,,,,,19:05:00,19:08:00,19:10:00,19:20:00,,,19:21:00,,,,18:56:00,20:16:00,,19:15:00,19:25:00,19:25:00
3099,,,,,,18:54:00,18:55:00,18:56:00,19:08:00,,,19:10:00,,,,18:51:00,19:16:00,,19:05:00,19:13:00,19:11:00
3100,,,,,,18:44:00,18:48:00,18:49:00,18:57:00,,,18:59:00,,,,18:41:00,19:41:00,,18:55:00,19:05:00,19:04:00
3101,,,,,,18:34:00,18:37:00,18:39:00,18:47:00,,,,,,,18:31:00,19:39:00,,18:46:00,18:59:00,18:51:00
3102,,,,,,18:30:00,18:31:00,18:32:00,18:45:00,,,18:46:00,,,,18:26:00,19:23:00,,18:39:00,18:47:00,18:48:00
