no_correlativo,fase_1,fase_2,fase_3,fase_4,fase_5,fase_6,fase_7,fase_8,fase_9,fase_10,iniciada
5767,True,True,True,True,False,True,True,True,True,True,True
5768,True,True,True,True,False,True,True,True,True,True,True
5772,False,False,False,False,False,False,False,False,False,False,True
5773,True,True,True,True,False,True,True,True,True,True,True
5775,False,False,False,False,False,False,False,False,False,False,True
5953,True,True,True,True,True,True,True,True,True,True,True
5959,True,True,True,True,True,True,True,True,True,True,True
5963,True,True,True,True,True,True,True,True,True,True,True
5964,True,True,True,True,True,True,True,True,True,True,True
5965,True,True,True,True,True,True,True,True,True,True,True
5968,True,False,True,True,True,True,True,True,True,True,True
5969,True,True,True,True,True,True,True,True,True,True,True
5971,True,True,True,True,True,False,True,True,False,True,True
5972,True,False,True,True,True,False,True,True,True,True,True
5973,True,True,True,True,True,True,True,True,True,True,True
6056,False,True,True,True,True,True,False,True,True,True,True
6059,True,True,True,True,True,True,True,True,True,True,True
6061,True,True,True,True,True,True,True,True,True,True,True
6067,True,True,True,True,True,True,True,True,True,True,True
6069,True,True,True,True,True,True,True,True,True,True,True
6070,False,False,False,False,False,False,False,False,False,False,True
6071,True,True,True,True,True,True,True,True,True,True,True
6145,True,True,False,True,False,False,False,False,False,False,True
6146,True,True,True,True,True,True,True,True,True,True,True
6156,True,True,True,True,True,True,True,True,True,True,True
6159,False,False,True,True,True,True,True,True,True,True,True
6160,True,True,True,True,True,True,True,True,False,True,True
6235,True,True,True,True,True,True,True,True,True,True,True
6237,True,True,True,True,True,True,True,True,True,False,True
6242,True,True,True,True,True,True,True,True,True,True,True
6250,True,True,True,True,True,True,True,True,True,True,True
6311,False,False,False,True,True,True,True,True,True,True,True
6319,True,True,True,True,True,True,True,True,True,True,True
6396,False,False,False,False,False,False,False,False,False,False,True
6397,True,True,True,True,True,True,True,True,True,True,True
6398,True,True,True,True,True,True,True,True,True,True,True
6400,False,False,False,False,False,False,False,False,False,False,True
6403,True,True,True,True,True,True,True,True,True,True,True
6405,True,True,True,True,True,True,True,True,True,True,True
6409,True,True,True,True,True,True,True,True,True,True,True
6410,True,True,True,True,True,False,True,True,True,True,True
6413,True,True,True,True,True,True,True,True,True,True,True
6414,True,True,True,True,True,True,True,True,True,True,True
6415,True,True,True,True,True,True,True,True,True,True,True
6418,True,True,True,True,True,True,True,True,True,True,True
6419,True,True,True,True,True,True,True,True,True,True,True
6422,True,True,True,True,True,True,True,True,True,True,True
6423,True,True,True,True,True,True,True,True,True,True,True
6520,True,True,True,True,True,True,True,True,True,True,True
6522,True,True,True,True,True,True,True,True,False,True,True
6526,True,True,True,True,True,True,True,True,True,True,True
6533,True,True,True,True,True,True,True,True,True,True,True
6534,False,False,False,False,False,False,False,False,False,True,True
6605,True,True,True,True,True,True,True,True,True,True,True
6607,True,True,True,True,True,True,True,True,True,True,True
6609,True,False,True,True,True,True,False,True,True,True,True
6611,True,True,True,True,True,True,True,True,True,True,True
6613,True,True,True,True,True,True,True,True,False,True,True
6614,True,True,True,True,True,True,True,True,True,True,True
6617,True,True,True,True,True,True,True,True,True,True,True
6618,True,True,True,True,True,True,True,True,True,True,True
6619,True,True,True,True,True,True,True,True,True,True,True
6718,True,True,True,True,True,False,True,True,False,True,True
6723,True,True,True,True,True,True,True,True,True,True,True
6738,True,True,True,True,True,True,True,True,True,True,True
6739,False,False,False,False,False,False,False,False,False,True,True
6741,True,True,True,True,True,True,True,True,True,True,True
6867,True,True,True,True,True,True,True,True,True,True,True
6868,False,False,False,False,False,False,False,False,False,False,True
6879,True,True,True,True,True,True,True,True,True,True,True
6883,True,True,True,True,True,True,True,True,True,True,True
6884,True,True,False,False,False,False,False,False,False,False,True
6885,True,True,True,True,True,True,True,True,True,True,True
6887,True,True,True,True,True,True,True,True,True,True,True
6888,True,True,True,True,True,True,True,True,True,True,True
6889,True,True,True,True,True,True,True,True,True,True,True
6893,True,True,True,True,True,True,True,True,True,True,True
7018,True,True,True,True,True,True,True,True,True,False,True
7022,False,False,False,False,False,False,False,False,False,False,True
7039,True,True,True,True,True,True,True,True,True,True,True
7043,False,False,False,False,False,False,False,False,False,True,True
7167,True,True,True,True,True,True,True,True,True,True,True
7168,True,True,True,True,True,True,True,True,True,True,True
7177,True,True,True,True,True,False,False,True,False,True,True
7179,True,True,True,True,True,False,True,True,True,True,True
7181,True,True,True,True,True,True,True,True,True,True,True
7183,True,True,True,True,True,True,True,True,False,True,True
7184,True,True,True,True,True,True,True,True,True,True,True
7185,True,True,True,True,True,True,True,True,True,True,True
7187,True,True,True,True,True,True,True,True,True,True,True
7188,True,True,True,True,True,True,True,True,True,True,True
7189,True,True,True,True,True,True,True,True,True,True,True
7193,True,True,True,True,True,True,True,True,True,True,True
7346,False,False,False,False,False,False,False,False,False,False,True
7347,True,True,True,True,True,True,True,True,True,True,True
7349,True,True,True,True,True,True,True,True,True,True,True
7350,True,True,True,True,True,True,True,True,True,True,True
7356,True,True,True,True,True,True,True,True,True,True,True
7359,True,True,True,True,True,True,True,True,True,True,True
7361,True,True,True,True,True,True,True,True,True,True,True
7363,True,True,True,True,True,True,True,True,True,True,True
7364,True,True,True,True,True,True,True,True,True,True,True
7367,True,True,True,True,True,True,True,True,True,True,True
7369,True,True,True,True,True,True,True,True,True,True,True
7371,True,True,True,True,True,True,True,True,False,True,True
7372,False,False,True,False,True,False,False,True,False,True,True
7373,True,True,True,True,True,True,True,True,True,True,True
7515,True,True,True,True,True,True,True,True,True,True,True
7517,True,True,True,True,True,True,True,True,True,True,True
7518,True,True,True,True,True,True,True,True,False,True,True
7524,True,True,True,True,True,True,True,False,True,True,True
7527,True,True,True,True,True,True,True,True,True,True,True
7529,True,True,True,True,True,True,True,True,True,True,True
7531,True,True,True,True,True,True,True,True,True,True,True
7532,True,True,True,True,True,False,True,True,True,True,True
7535,True,True,True,True,True,True,True,True,True,True,True
7536,True,False,True,True,True,True,True,True,True,True,True
7537,True,True,True,True,True,True,True,True,True,True,True
7539,True,True,True,True,True,True,True,True,True,True,True
7540,True,True,True,True,True,True,True,True,True,True,True
7541,True,True,True,True,True,True,True,True,True,True,True
7683,True,True,True,True,True,True,True,True,True,True,True
7685,False,False,True,True,False,True,True,True,False,True,True
7689,True,True,True,True,True,True,True,True,True,True,True
7693,True,True,True,True,True,True,True,True,True,True,True
7696,False,False,False,False,False,False,False,False,False,False,True
7705,True,True,True,True,True,True,True,True,True,True,True
7706,True,True,True,True,True,False,False,False,False,False,True
7708,False,False,False,False,False,False,False,False,False,True,True
7709,False,False,False,False,False,False,False,False,False,True,True
9094,True,True,True,True,True,True,True,True,True,True,True
9109,True,True,True,True,True,True,True,True,True,True,True
9110,True,True,True,True,True,True,True,True,True,True,True
9111,False,False,False,False,False,False,False,False,False,False,True
9113,True,True,True,True,True,True,True,True,True,True,True
9215,True,True,True,True,True,True,True,True,True,True,True
9216,False,False,False,False,False,False,False,False,False,True,True
9218,True,True,False,True,True,True,True,True,True,True,True
9220,True,False,True,True,True,False,True,True,False,True,True
9221,True,True,True,True,True,True,True,True,False,True,True
9224,True,True,True,True,True,True,True,True,True,True,True
9225,True,True,True,False,True,True,True,True,True,True,True
9228,True,True,True,True,True,True,True,True,True,True,True
9229,True,True,True,True,True,True,True,True,True,True,True
9231,True,True,True,True,True,True,True,True,True,True,True
9234,True,True,True,True,True,True,True,True,True,True,True
9288,True,True,True,True,True,True,True,True,True,True,True
9289,True,True,True,True,True,True,True,True,True,True,True
9290,True,True,True,True,True,True,True,True,True,True,True
9292,True,True,True,True,True,True,True,True,True,True,True
9294,True,True,True,True,True,True,True,True,True,True,True
9296,True,True,True,True,True,True,True,True,True,True,True
9297,True,True,True,True,True,True,True,True,True,True,True
9298,True,True,True,True,True,True,True,True,True,True,True
9299,True,True,True,True,True,True,True,True,True,True,True
9301,True,True,True,True,True,True,True,True,True,True,True
9302,True,True,True,True,True,True,True,True,True,True,True
9303,True,True,True,True,True,True,True,True,True,True,True
9305,True,True,True,True,True,True,True,True,True,True,True
9306,True,True,True,True,True,True,True,True,True,True,True
9307,True,True,True,True,True,True,False,True,True,True,True
9309,True,True,True,True,True,True,True,True,True,True,True
9310,True,True,True,True,True,True,True,True,True,True,True
9366,True,True,True,True,True,True,True,True,True,True,True
9367,True,True,True,True,True,True,True,True,True,True,True
9370,True,True,True,True,True,True,True,True,True,True,True
9372,False,False,False,False,False,False,False,False,False,False,True
9374,True,True,True,True,True,True,True,True,True,True,True
9375,True,True,True,True,True,True,True,True,True,True,True
9376,False,True,True,False,True,False,True,True,False,True,True
9377,False,False,True,True,True,True,True,True,False,True,True
9379,True,True,True,True,True,True,True,True,True,True,True
9380,True,True,True,True,True,True,True,True,True,True,True
9381,False,False,True,True,True,False,False,True,True,True,True
9382,True,True,True,True,True,True,True,True,True,True,True
9383,True,True,True,True,True,True,True,True,True,True,True
